Skill_category,Skill,Count,Percentage
Statistics and Data,machine learning,1311,17.2
Statistics and Data,sql,672,8.81
Statistics and Data,pandas,337,4.42
Statistics and Data,statistik,215,2.82
Statistics and Data,big data,194,2.54
Occupational Attributes,python,815,10.69
Occupational Attributes,integration,285,3.74
Occupational Attributes,sap,74,0.97
Occupational Attributes,tableau,59,0.77
Occupational Attributes,programmierung,35,0.46
Decision Making and Analytical,implementierung,597,7.83
Decision Making and Analytical,analyse,561,7.36
Decision Making and Analytical,zusammenarbeit,476,6.24
Decision Making and Analytical,kommunikation,35,0.46
Decision Making and Analytical,modellierung,29,0.38
General,mathematik,357,4.68
General,datenanalyse,346,4.54
General,deutsch,39,0.51
General,englisch,16,0.21
General,english,4,0.05
Communication,verantwortlich,142,1.86
Communication,präsentation,46,0.6
Specialized ML,computer vision,54,0.71
Specialized ML,nlp,46,0.6
Specialized ML,opencv,37,0.49
Specialized ML,bildverarbeitung,13,0.17
Specialized ML,übersetzung,2,0.03
Cloud Platforms,aws,50,0.66
Cloud Platforms,azure,48,0.63
Data Engineering,planung,39,0.51
MLOps,docker,15,0.2
MLOps,kubernetes,11,0.14
MLOps,standardisierung,1,0.01
Generative AI,spracherkennung,4,0.05
