Rank,State,Job_count,Percentage
1,Nordrhein-Westfalen,162,21.51
2,Bayern,155,20.58
3,Berlin,141,18.73
4,Baden-Württemberg,134,17.8
5,Hessen,55,7.3
6,Hamburg,22,2.92
7,Sachsen,16,2.12
8,Niedersachsen,13,1.73
9,Bremen,12,1.59
10,Schleswig-Holstein,9,1.2
11,Rheinland-Pfalz,9,1.2
12,Thüringen,8,1.06
13,Sachsen-Anhalt,5,0.66
14,Brandenburg,5,0.66
15,Saarland,4,0.53
16,Mecklenburg-Vorpommern,3,0.4
