state,count
Nordrhein-Westfalen,3002
Baden-Württemberg,993
Bayern,813
Hessen,627
Berlin,566
Hamburg,330
Sachsen,201
Niedersachsen,144
Schleswig-Holstein,61
Rheinland-Pfalz,59
Saarland,36
Thüringen,24
Bremen,16
