state,count
Nordrhein-Westfalen,3152
Baden-Württemberg,1020
Bayern,799
Hessen,647
Berlin,564
Hamburg,338
Sachsen,202
Niedersachsen,155
Schleswig-Holstein,60
Rheinland-Pfalz,54
Saarland,36
Thüringen,24
Sachsen-Anhalt,16
Bremen,6
