city,count
Köln,1957
München,587
Berlin,564
Frankfurt am Main,551
Stuttgart,430
Düsseldorf,411
Hamburg,338
Münster,192
Bonn,135
Freiburg im Breisgau,113
Ulm,111
Dresden,105
Nürnberg,99
Leipzig,97
Hannover,94
Essen,89
Bielefeld,80
Aachen,79
Mannheim,61
Dortmund,55
Lübeck,49
Karlsruhe,44
Braunschweig,41
Wiesbaden,37
Saarbrücken,36
Memmingen,35
Bietigheim-Bissingen,30
Tübingen,27
Sankt Augustin,26
Herzogenrath,25
Oberkochen,21
Sulzbach (Taunus),21
Esslingen,20
Ingolstadt,19
Teisnach,19
Neukirchen-Vluyn,19
Moosburg,18
Friedrichshafen,18
Heidelberg,18
Heilbronn,17
Bochum,17
Duisburg,16
Mülheim-Kärlich,16
Leuna,16
Kempten,15
Biberach an der Riß,14
Darmstadt,14
Mosbach,14
Erfurt,14
Mönchengladbach,14
Kirchentellinsfurt,13
Gütersloh,13
Wuppertal,13
Renningen,12
Pforzheim,12
Ingelheim,12
Weikersheim,12
Bergisch Gladbach,11
Göttingen,11
Kiel,11
Jena,10
Bellheim,10
Osnabrück,9
Schwäbisch Gmünd,8
Walldorf,8
Erlangen,7
Sindelfingen,7
Reutlingen,7
Bremen,6
Ludwigshafen am Rhein,5
