city,count
Köln,1870
München,581
Berlin,566
Frankfurt am Main,525
Stuttgart,413
Düsseldorf,404
Hamburg,330
Münster,181
Bonn,135
Freiburg im Breisgau,113
Ulm,106
Nürnberg,103
Leipzig,101
Dresden,100
Hannover,83
Bielefeld,70
Essen,68
Dortmund,67
Aachen,60
Mannheim,54
Lübeck,49
Braunschweig,41
Karlsruhe,40
Wiesbaden,37
Saarbrücken,36
Memmingen,35
Tübingen,27
Sankt Augustin,26
Herzogenrath,25
Heilbronn,25
Oberkochen,21
Sulzbach (Taunus),21
Esslingen,20
Teisnach,19
Ingolstadt,19
Friedrichshafen,18
Moosburg,18
Heidelberg,18
Bochum,17
Ludwigsburg,16
Duisburg,16
Mülheim-Kärlich,16
Bremen,16
Kempten,15
Mosbach,14
Schwäbisch Gmünd,14
Mönchengladbach,14
Darmstadt,14
Biberach an der Riß,14
Lindau (Bodensee),14
Erfurt,14
Kirchentellinsfurt,13
Gütersloh,13
Wuppertal,13
Neukirchen-Vluyn,12
Renningen,12
Pforzheim,12
Weikersheim,12
Ingelheim,12
Kiel,12
Bietigheim-Bissingen,11
Bergisch Gladbach,11
Göttingen,11
Jena,10
Bellheim,10
Osnabrück,9
Sindelfingen,7
Reutlingen,7
Erlangen,7
Bad Nauheim,6
Kaiserslautern,5
Ludwigshafen am Rhein,5
Neckarsulm,3
Augsburg,2
